  Year    Month     Year.dec       CH4_ppb         Avg_unc       Trend         Trend_unc
  1996      11      1996.875       1760.03          0.90       1752.21          0.63
  1996      12      1996.958       1756.92          0.78       1752.45          0.60
  1997       1      1997.042       1753.40          0.88       1752.69          0.55
  1997       2      1997.125       1753.91          0.97       1752.93          0.50
  1997       3      1997.208       1755.68          0.76       1753.20          0.45
  1997       4      1997.292       1755.52          0.88       1753.49          0.41
  1997       5      1997.375       1753.86          0.66       1753.84          0.37
  1997       6      1997.458       1750.14          0.86       1754.24          0.34
  1997       7      1997.542       1746.14          0.96       1754.71          0.33
  1997       8      1997.625       1747.90          0.86       1755.27          0.34
  1997       9      1997.708       1755.01          0.87       1755.91          0.36
  1997      10      1997.792       1760.23          0.74       1756.65          0.39
  1997      11      1997.875       1761.71          0.85       1757.49          0.42
  1997      12      1997.958       1761.91          0.72       1758.42          0.45
  1998       1      1998.042       1761.50          0.83       1759.46          0.48
  1998       2      1998.125       1761.58          1.34       1760.51          0.50
  1998       3      1998.208       1763.04          1.54       1761.62          0.51
  1998       4      1998.292       1764.69          1.06       1762.79          0.53
  1998       5      1998.375       1764.18          0.83       1763.98          0.54
  1998       6      1998.458       1760.27          0.65       1765.15          0.55
  1998       7      1998.542       1756.16          0.94       1766.28          0.57
  1998       8      1998.625       1760.14          0.89       1767.37          0.59
  1998       9      1998.708       1770.52          1.26       1768.36          0.61
  1998      10      1998.792       1776.21          1.21       1769.27          0.63
  1998      11      1998.875       1775.59          0.83       1770.07          0.65
  1998      12      1998.958       1774.15          0.81       1770.76          0.66
  1999       1      1999.042       1773.97          0.97       1771.36          0.67
  1999       2      1999.125       1774.16          1.35       1771.83          0.67
  1999       3      1999.208       1774.73          1.13       1772.21          0.66
  1999       4      1999.292       1774.95          0.74       1772.52          0.64
  1999       5      1999.375       1772.67          0.88       1772.76          0.62
  1999       6      1999.458       1767.40          0.85       1772.94          0.59
  1999       7      1999.542       1763.00          0.80       1773.08          0.57
  1999       8      1999.625       1764.73          0.83       1773.18          0.56
  1999       9      1999.708       1771.10          0.86       1773.25          0.55
  1999      10      1999.792       1776.64          0.84       1773.30          0.55
  1999      11      1999.875       1778.59          0.68       1773.34          0.56
  1999      12      1999.958       1777.28          0.73       1773.37          0.57
  2000       1      2000.042       1775.54          1.00       1773.38          0.59
  2000       2      2000.125       1775.51          1.23       1773.37          0.60
  2000       3      2000.208       1776.59          1.33       1773.35          0.61
  2000       4      2000.292       1777.27          1.28       1773.30          0.62
  2000       5      2000.375       1774.58          1.10       1773.23          0.63
  2000       6      2000.458       1768.17          0.97       1773.12          0.63
  2000       7      2000.542       1763.54          0.77       1772.99          0.63
  2000       8      2000.625       1765.55          1.08       1772.83          0.63
  2000       9      2000.708       1772.12          1.13       1772.65          0.63
  2000      10      2000.792       1777.10          0.80       1772.45          0.63
  2000      11      2000.875       1777.66          0.88       1772.24          0.63
  2000      12      2000.958       1775.25          1.01       1772.02          0.64
  2001       1      2001.042       1772.86          0.86       1771.81          0.64
  2001       2      2001.125       1772.50          0.96       1771.62          0.63
  2001       3      2001.208       1773.64          1.02       1771.45          0.63
  2001       4      2001.292       1773.84          0.65       1771.29          0.62
  2001       5      2001.375       1770.72          0.76       1771.17          0.61
  2001       6      2001.458       1765.83          1.02       1771.08          0.60
  2001       7      2001.542       1762.73          1.05       1771.02          0.58
  2001       8      2001.625       1764.30          1.00       1770.99          0.56
  2001       9      2001.708       1770.40          0.93       1771.00          0.54
  2001      10      2001.792       1775.51          0.70       1771.04          0.51
  2001      11      2001.875       1776.56          0.69       1771.10          0.49
  2001      12      2001.958       1775.89          0.95       1771.19          0.48
  2002       1      2002.042       1774.08          1.08       1771.29          0.46
  2002       2      2002.125       1772.83          1.00       1771.41          0.46
  2002       3      2002.208       1773.38          0.66       1771.55          0.46
  2002       4      2002.292       1772.71          0.76       1771.72          0.47
  2002       5      2002.375       1770.27          0.83       1771.90          0.49
  2002       6      2002.458       1766.88          0.94       1772.12          0.51
  2002       7      2002.542       1764.28          0.91       1772.36          0.53
  2002       8      2002.625       1767.02          0.90       1772.65          0.56
  2002       9      2002.708       1773.72          0.98       1772.98          0.58
  2002      10      2002.792       1778.21          1.32       1773.35          0.59
  2002      11      2002.875       1779.53          1.18       1773.77          0.60
  2002      12      2002.958       1779.69          0.75       1774.23          0.60
  2003       1      2003.042       1777.53          0.96       1774.74          0.60
  2003       2      2003.125       1774.85          1.04       1775.27          0.59
  2003       3      2003.208       1774.83          0.80       1775.81          0.58
  2003       4      2003.292       1775.72          1.26       1776.38          0.56
  2003       5      2003.375       1774.42          1.02       1776.95          0.54
  2003       6      2003.458       1771.68          1.36       1777.50          0.53
  2003       7      2003.542       1770.68          1.82       1778.01          0.52
  2003       8      2003.625       1774.25          1.59       1778.46          0.51
  2003       9      2003.708       1780.48          0.99       1778.82          0.51
  2003      10      2003.792       1784.67          0.81       1779.10          0.50
  2003      11      2003.875       1785.33          0.93       1779.26          0.50
  2003      12      2003.958       1783.57          1.02       1779.31          0.50
  2004       1      2004.042       1780.85          0.99       1779.24          0.49
  2004       2      2004.125       1779.99          0.85       1779.06          0.49
  2004       3      2004.208       1780.97          0.83       1778.79          0.49
  2004       4      2004.292       1780.70          0.74       1778.41          0.49
  2004       5      2004.375       1777.57          0.98       1777.95          0.49
  2004       6      2004.458       1772.28          1.20       1777.45          0.50
  2004       7      2004.542       1767.99          0.78       1776.91          0.51
  2004       8      2004.625       1769.73          0.87       1776.36          0.52
  2004       9      2004.708       1775.47          1.05       1775.84          0.53
  2004      10      2004.792       1779.68          0.87       1775.35          0.53
  2004      11      2004.875       1780.49          0.92       1774.93          0.53
  2004      12      2004.958       1778.33          0.94       1774.58          0.53
  2005       1      2005.042       1776.20          1.07       1774.32          0.53
  2005       2      2005.125       1775.67          0.99       1774.14          0.53
  2005       3      2005.208       1775.37          0.94       1774.05          0.53
  2005       4      2005.292       1774.58          0.85       1774.03          0.53
  2005       5      2005.375       1772.29          0.67       1774.07          0.54
  2005       6      2005.458       1768.57          0.97       1774.16          0.55
  2005       7      2005.542       1766.27          0.87       1774.27          0.57
  2005       8      2005.625       1768.05          1.06       1774.41          0.58
  2005       9      2005.708       1773.10          1.19       1774.53          0.59
  2005      10      2005.792       1778.48          1.12       1774.64          0.58
  2005      11      2005.875       1781.20          0.81       1774.71          0.58
  2005      12      2005.958       1780.21          1.27       1774.76          0.56
  2006       1      2006.042       1779.45          0.93       1774.77          0.53
  2006       2      2006.125       1779.43          0.80       1774.76          0.51
  2006       3      2006.208       1777.39          0.71       1774.73          0.48
  2006       4      2006.292       1776.13          0.56       1774.71          0.46
  2006       5      2006.375       1774.95          0.89       1774.70          0.45
  2006       6      2006.458       1769.26          1.23       1774.72          0.45
  2006       7      2006.542       1764.16          1.12       1774.81          0.46
  2006       8      2006.625       1767.25          1.14       1774.96          0.48
  2006       9      2006.708       1774.61          1.33       1775.19          0.50
  2006      10      2006.792       1778.22          0.86       1775.51          0.51
  2006      11      2006.875       1779.04          0.67       1775.93          0.53
  2006      12      2006.958       1779.92          0.82       1776.43          0.54
  2007       1      2007.042       1779.21          1.03       1777.01          0.55
  2007       2      2007.125       1778.67          0.98       1777.64          0.56
  2007       3      2007.208       1780.33          0.86       1778.31          0.57
  2007       4      2007.292       1781.11          1.06       1779.03          0.58
  2007       5      2007.375       1779.44          1.32       1779.77          0.58
  2007       6      2007.458       1775.61          1.02       1780.50          0.59
  2007       7      2007.542       1772.58          1.04       1781.22          0.59
  2007       8      2007.625       1777.22          1.54       1781.91          0.60
  2007       9      2007.708       1785.91          1.59       1782.56          0.60
  2007      10      2007.792       1789.85          1.09       1783.17          0.60
  2007      11      2007.875       1789.52          0.96       1783.74          0.60
  2007      12      2007.958       1788.22          1.07       1784.28          0.60
  2008       1      2008.042       1786.72          1.07       1784.81          0.60
  2008       2      2008.125       1785.79          1.06       1785.29          0.60
  2008       3      2008.208       1786.08          1.23       1785.77          0.60
  2008       4      2008.292       1786.84          1.08       1786.28          0.60
  2008       5      2008.375       1785.19          0.92       1786.79          0.59
  2008       6      2008.458       1780.43          0.88       1787.32          0.57
  2008       7      2008.542       1777.61          0.89       1787.87          0.55
  2008       8      2008.625       1781.05          0.97       1788.45          0.53
  2008       9      2008.708       1787.65          0.98       1789.03          0.51
  2008      10      2008.792       1793.66          0.67       1789.62          0.48
  2008      11      2008.875       1797.35          1.20       1790.20          0.46
  2008      12      2008.958       1796.63          1.18       1790.77          0.46
  2009       1      2009.042       1795.06          0.83       1791.33          0.46
  2009       2      2009.125       1795.60          1.02       1791.84          0.48
  2009       3      2009.208       1795.98          0.98       1792.32          0.50
  2009       4      2009.292       1795.54          0.75       1792.78          0.53
  2009       5      2009.375       1792.36          0.66       1793.20          0.56
  2009       6      2009.458       1786.91          0.84       1793.58          0.59
  2009       7      2009.542       1784.96          1.05       1793.94          0.61
  2009       8      2009.625       1788.84          0.99       1794.28          0.62
  2009       9      2009.708       1794.81          1.29       1794.60          0.63
  2009      10      2009.792       1798.02          1.41       1794.92          0.62
  2009      11      2009.875       1797.90          0.82       1795.24          0.61
  2009      12      2009.958       1796.69          0.93       1795.57          0.60
  2010       1      2010.042       1797.09          1.26       1795.92          0.58
  2010       2      2010.125       1798.75          1.34       1796.28          0.57
  2010       3      2010.208       1799.43          1.20       1796.65          0.57
  2010       4      2010.292       1799.61          0.92       1797.06          0.57
  2010       5      2010.375       1797.72          1.18       1797.49          0.58
  2010       6      2010.458       1792.53          1.29       1797.94          0.59
  2010       7      2010.542       1789.41          0.95       1798.40          0.61
  2010       8      2010.625       1794.05          0.93       1798.87          0.62
  2010       9      2010.708       1801.78          1.00       1799.34          0.63
  2010      10      2010.792       1806.49          1.05       1799.81          0.63
  2010      11      2010.875       1807.03          1.02       1800.27          0.63
  2010      12      2010.958       1803.61          0.97       1800.72          0.62
  2011       1      2011.042       1800.45          1.03       1801.17          0.61
  2011       2      2011.125       1800.19          0.79       1801.59          0.61
  2011       3      2011.208       1800.98          0.58       1802.00          0.60
  2011       4      2011.292       1802.88          0.66       1802.41          0.61
  2011       5      2011.375       1803.32          0.83       1802.81          0.61
  2011       6      2011.458       1799.16          0.69       1803.21          0.63
  2011       7      2011.542       1796.19          0.85       1803.61          0.64
  2011       8      2011.625       1799.06          1.04       1804.01          0.65
  2011       9      2011.708       1804.06          1.80       1804.40          0.65
  2011      10      2011.792       1809.58          1.64       1804.80          0.65
  2011      11      2011.875       1812.41          1.11       1805.21          0.64
  2011      12      2011.958       1810.02          0.94       1805.62          0.63
  2012       1      2012.042       1807.27          0.95       1806.05          0.60
  2012       2      2012.125       1808.25          1.18       1806.47          0.58
  2012       3      2012.208       1809.93          0.82       1806.89          0.56
  2012       4      2012.292       1808.38          0.54       1807.33          0.55
  2012       5      2012.375       1804.70          1.16       1807.77          0.53
  2012       6      2012.458       1800.93          1.18       1808.22          0.53
  2012       7      2012.542       1799.27          1.12       1808.65          0.52
  2012       8      2012.625       1803.22          1.02       1809.09          0.53
  2012       9      2012.708       1810.10          1.13       1809.50          0.53
  2012      10      2012.792       1814.74          1.06       1809.90          0.54
  2012      11      2012.875       1815.88          1.15       1810.28          0.55
  2012      12      2012.958       1814.58          0.84       1810.65          0.56
  2013       1      2013.042       1814.11          0.91       1811.01          0.58
  2013       2      2013.125       1814.23          1.27       1811.33          0.59
  2013       3      2013.208       1813.28          1.00       1811.66          0.60
  2013       4      2013.292       1812.81          0.74       1811.99          0.62
  2013       5      2013.375       1811.94          0.86       1812.34          0.63
  2013       6      2013.458       1808.53          1.41       1812.72          0.64
  2013       7      2013.542       1805.74          1.70       1813.13          0.64
  2013       8      2013.625       1808.41          1.23       1813.60          0.64
  2013       9      2013.708       1814.36          0.98       1814.12          0.64
  2013      10      2013.792       1818.63          0.71       1814.72          0.63
  2013      11      2013.875       1820.40          0.68       1815.39          0.62
  2013      12      2013.958       1819.37          0.89       1816.14          0.61
  2014       1      2014.042       1816.89          1.03       1816.99          0.60
  2014       2      2014.125       1816.40          1.20       1817.87          0.59
  2014       3      2014.208       1818.10          1.21       1818.82          0.58
  2014       4      2014.292       1820.90          0.79       1819.86          0.57
  2014       5      2014.375       1821.96          0.83       1820.95          0.56
  2014       6      2014.458       1818.38          0.81       1822.07          0.55
  2014       7      2014.542       1815.61          1.02       1823.22          0.55
  2014       8      2014.625       1819.84          1.14       1824.38          0.54
  2014       9      2014.708       1826.95          1.15       1825.52          0.54
  2014      10      2014.792       1831.25          0.66       1826.63          0.53
  2014      11      2014.875       1833.10          0.65       1827.71          0.53
  2014      12      2014.958       1833.52          1.05       1828.76          0.53
  2015       1      2015.042       1832.87          1.21       1829.78          0.54
  2015       2      2015.125       1832.70          0.98       1830.71          0.54
  2015       3      2015.208       1833.03          0.76       1831.61          0.54
  2015       4      2015.292       1833.19          0.93       1832.50          0.54
  2015       5      2015.375       1831.79          0.92       1833.37          0.54
  2015       6      2015.458       1827.33          0.85       1834.20          0.54
  2015       7      2015.542       1824.80          1.06       1835.02          0.54
  2015       8      2015.625       1829.20          1.05       1835.83          0.54
  2015       9      2015.708       1836.23          1.03       1836.62          0.54
  2015      10      2015.792       1841.46          0.84       1837.40          0.54
  2015      11      2015.875       1844.69          0.99       1838.16          0.54
  2015      12      2015.958       1844.82          1.06       1838.91          0.55
  2016       1      2016.042       1842.38          0.85       1839.67          0.56
  2016       2      2016.125       1841.65          0.99       1840.36          0.57
  2016       3      2016.208       1842.99          0.76       1841.03          0.57
  2016       4      2016.292       1843.74          0.56       1841.70          0.58
  2016       5      2016.375       1842.14          0.78       1842.34          0.59
  2016       6      2016.458       1837.84          1.12       1842.95          0.59
  2016       7      2016.542       1834.16          1.06       1843.53          0.60
  2016       8      2016.625       1836.70          1.13       1844.09          0.60
  2016       9      2016.708       1844.18          1.35       1844.63          0.59
  2016      10      2016.792       1849.87          1.15       1845.14          0.59
  2016      11      2016.875       1851.44          1.13       1845.64          0.58
  2016      12      2016.958       1851.08          0.93       1846.12          0.57
  2017       1      2017.042       1849.80          0.88       1846.62          0.56
  2017       2      2017.125       1848.56          1.09       1847.09          0.56
  2017       3      2017.208       1848.32          1.16       1847.58          0.55
  2017       4      2017.292       1848.61          1.08       1848.09          0.55
  2017       5      2017.375       1847.19          0.84       1848.61          0.56
  2017       6      2017.458       1842.96          0.96       1849.16          0.57
  2017       7      2017.542       1840.39          1.32       1849.73          0.58
  2017       8      2017.625       1844.66          1.18       1850.33          0.60
  2017       9      2017.708       1852.78          0.99       1850.94          0.62
  2017      10      2017.792       1858.09          0.96       1851.57          0.65
  2017      11      2017.875       1858.70          0.82       1852.23          0.67
  2017      12      2017.958       1856.66          0.94       1852.90          0.70
  2018       1      2018.042       1854.46          1.02       1853.60          0.73
  2018       2      2018.125       1854.96          0.95       1854.29          0.75
  2018       3      2018.208       1856.86          0.95       1854.98          0.77
  2018       4      2018.292       1856.66          1.09       1855.71          0.80
  2018       5      2018.375       1854.79          1.65       1856.45          0.81
  2018       6      2018.458       1851.97          1.67       1857.18          0.83
  2018       7      2018.542       1849.04          1.58       1857.92          0.84
  2018       8      2018.625       1851.89          1.69       1858.67          0.85
  2018       9      2018.708       1860.44          0.97       1859.41          0.84
  2018      10      2018.792       1865.73          0.95       1860.14          0.84
  2018      11      2018.875       1866.25          1.04       1860.86          0.83
  2018      12      2018.958       1866.00          1.00       1861.58          0.81
  2019       1      2019.042       1864.99          1.10       1862.30          0.78
  2019       2      2019.125       1864.98          0.78       1862.99          0.76
  2019       3      2019.208       1866.25          0.85       1863.68          0.73
  2019       4      2019.292       1865.29          0.63       1864.40          0.70
  2019       5      2019.375       1861.92          1.18       1865.14          0.67
  2019       6      2019.458       1858.81          1.39       1865.89          0.63
  2019       7      2019.542       1858.43          1.47       1866.67          0.60
  2019       8      2019.625       1863.01          1.40       1867.49          0.57
  2019       9      2019.708       1870.73          1.14       1868.34          0.55
  2019      10      2019.792       1875.38          1.00       1869.23          0.53
  2019      11      2019.875       1875.57          1.00       1870.16          0.52
  2019      12      2019.958       1874.66          0.70       1871.14          0.53
  2020       1      2020.042       1873.12          0.88       1872.20          0.54
  2020       2      2020.125       1872.75          0.87       1873.24          0.56
  2020       3      2020.208       1874.73          0.74       1874.32          0.57
  2020       4      2020.292       1875.86          1.22       1875.50          0.59
  2020       5      2020.375       1874.32          1.15       1876.70          0.60
  2020       6      2020.458       1871.87          1.15       1877.94          0.61
  2020       7      2020.542       1871.49          1.27       1879.21          0.62
  2020       8      2020.625       1876.54          1.27       1880.54          0.62
  2020       9      2020.708       1884.68          1.08       1881.87          0.61
  2020      10      2020.792       1890.10          0.81       1883.23          0.61
  2020      11      2020.875       1891.93          0.60       1884.62          0.60
  2020      12      2020.958       1891.80          0.93       1886.04          0.60
  2021       1      2021.042       1889.52          1.36       1887.50          0.59
  2021       2      2021.125       1887.58          1.05       1888.93          0.58
  2021       3      2021.208       1888.73          0.93       1890.37          0.58
  2021       4      2021.292       1891.23          0.57       1891.89          0.57
  2021       5      2021.375       1891.61          0.70       1893.43          0.57
  2021       6      2021.458       1888.46          0.78       1894.97          0.56
  2021       7      2021.542       1886.35          0.78       1896.53          0.56
  2021       8      2021.625       1892.60          1.20       1898.11          0.56
  2021       9      2021.708       1902.66          1.23       1899.66          0.57
  2021      10      2021.792       1907.95          0.81       1901.19          0.58
  2021      11      2021.875       1909.52          1.16       1902.69          0.60
  2021      12      2021.958       1909.35          1.21       1904.16          0.62
  2022       1      2022.042       1908.11          1.05       1905.60          0.63
  2022       2      2022.125       1907.95         -9.99       1906.91         -9.99
  2022       3      2022.208       1909.18         -9.99       1908.16         -9.99
  2022       4      2022.292       1909.68         -9.99       1909.39         -9.99
  2022       5      2022.375       1907.96         -9.99       1910.55         -9.99
  2022       6      2022.458       1905.41         -9.99       1911.63         -9.99
  2022       7      2022.542       1904.44         -9.99       1912.63         -9.99
  2022       8      2022.625       1908.61         -9.99       1913.58         -9.99
