Year    Jan      Feb      Mar      Apr      May      Jun      Jul      Aug      Sep      Oct      Nov      Dec
1950    1.210    1.700    6.800    6.020    3.000    3.780    9.890    8.360    3.440    1.540    0.800    3.140
1951    2.290    1.320    7.690    3.550    3.490    5.610    6.500    4.160    6.050    0.800    6.370    5.660
1952    1.570    7.530    4.910    3.770    3.910    2.400    3.550   10.360    5.440    0.480    1.870    3.060
1953    4.130    5.840    2.740    9.090    1.950    7.690    5.930    5.870    9.270    1.360    4.630   11.990
1954    1.310    2.650    3.370    2.060    2.310    3.010    6.200    2.550    3.040    1.580    2.310    2.470
1955    3.780    3.000    1.090    5.430    3.460    3.510    7.890    6.770    3.300    2.750    1.070    1.110
1956    4.040    5.070    4.330    2.050    3.030    6.180    7.790    3.890    7.850    4.340    0.560    3.060
1957    0.580    1.720    5.030    5.480    4.560    7.900    5.740    4.140   16.900    2.650    5.990    1.850
1958    4.320    4.050    6.090    7.150    5.010    6.960    7.760    4.990    3.410    1.900    2.530    2.600
1959    4.630    5.750    9.120    5.420    6.970    6.800    7.320    6.880    7.060   11.170    1.090    2.520
1960    4.160    6.800    4.440    7.240    3.370    4.200    6.950    7.140    8.080    3.310    1.270    2.750
1961    3.820    5.730    5.050    4.770    3.080    6.490    5.260   10.280    2.880    0.150    2.750    5.940
1962    3.410    3.320    5.780    5.220    0.690    4.980    5.500    4.320    5.640    2.150    5.090    3.140
1963    5.870    4.840    1.650    1.380    3.140    7.780    8.270    4.720    5.890    0.060    4.640    5.490
1964    8.860    7.610    5.280    8.520    2.320    5.470   10.300    8.410    4.710    8.050    3.440    7.090
1965    3.460    6.470    6.820    4.650    0.520   11.370    6.580    6.300    7.360    3.900    2.560    4.310
1966    7.090    9.090    3.260    1.820    5.310    3.930    5.970    7.650    6.620    3.060    2.550    4.610
1967    5.760    5.100    1.880    1.020    3.140    7.050    6.180    8.080    3.080    4.030    1.940    6.270
1968    2.200    2.600    2.160    1.690    3.510    2.720    5.810    5.200    3.610    2.580    4.130    5.660
1969    1.230    4.320    7.180    2.540    5.410    2.730   12.330    7.170    7.860    2.190    1.740    5.380
1970    4.680    5.350    8.480    2.450    3.560    7.550    6.210   10.380    3.450    7.180    1.820    3.100
1971    2.630    6.220    4.500    2.200    3.490    3.520    8.680    6.840    3.530    2.430    2.310    4.590
1972    5.410    5.660    5.470    1.020    4.580    7.230    3.210    4.530    1.870    3.120    5.220    5.440
1973    6.380    5.000    9.490    8.500    5.720    5.190    6.040    6.070    6.710    1.170    3.450    6.060
1974    4.240    3.830    3.390    3.500    3.450    3.270    5.660    6.510    7.940    0.940    2.640    3.730
1975    8.190    3.940    5.420    7.130    6.210    4.920   16.130    6.400    7.100    6.600    3.450    4.930
1976    4.880    1.520    5.290    1.560    9.390    6.250    4.090    5.850    4.120    6.840    6.880    4.380
1977    5.250    2.260    5.080    2.000    1.580    2.750    5.750   10.120    6.500    1.840    4.750    4.790
1978    7.430    3.780    6.760    4.300    7.010    6.630    7.940    5.650    2.410    0.710    3.930    4.170
1979    8.290    6.880    3.070    5.890    5.520    3.020   11.490    6.140   10.510    0.650    3.600    3.280
1980    5.530    1.760   10.230    7.190    4.840    5.910    6.140    4.020    4.640    4.900    2.500    0.770
1981    1.590    6.830    5.210    0.790    3.560    3.770    5.860    6.280    3.230    2.460    1.620    5.790
1982    4.490    7.170    4.320    4.470    2.870    6.350   10.590    5.170    4.290    3.000    2.690    7.890
1983    4.450    6.880    8.620    8.820    2.160    9.060    2.330    4.430    5.990    2.570    5.450    6.870
1984    4.230    4.910    6.440    7.410    3.460    3.850   10.670    6.220    1.020    2.340    2.620    1.420
1985    4.130    3.730    3.400    1.500    3.590    6.790    7.560    8.840    3.420    7.290    5.940    5.960
1986    4.400    7.840    3.860    0.450    2.770    3.190    5.590    7.470    4.180    4.180    5.930    5.760
1987    7.220    5.900    7.000    0.380    5.020    8.170    4.980    7.110    4.070    0.240    5.370    1.700
1988    4.700    7.050    6.420    2.650    0.830    3.030    7.700    6.850   11.190    2.860    2.940    1.520
1989    1.470    2.520    5.490    3.130    5.200   14.200    8.760    2.970    5.110    4.240    6.140    5.550
1990    5.110    5.350    6.110    2.710    3.440    3.740    5.170    3.920    2.080    3.190    1.330    3.390
1991   16.650    1.650   10.300    5.680   10.030    5.300    8.780    5.930    2.270    1.470    2.320    2.080
1992    7.410    6.810    4.390    1.490    2.460    8.840    6.000    9.510    3.940    2.250    8.650    2.870
1993    7.910    4.140    6.640    2.040    1.400    3.960    5.540    4.110    4.710    4.670    2.640    4.200
1994    6.780    2.540    7.540    4.800    3.200   10.860   11.230    8.490    6.270    8.650    2.490    2.870
1995    4.720    3.480    5.450    5.010    5.230    5.210    6.120    6.480    3.620    7.590    5.700    3.240
1996    3.810    4.540    8.250    5.560    2.050    4.540    6.530    8.230    6.490    5.230    1.800    4.740
1997    5.920    5.070    2.580    6.370    4.290    5.820    7.340    4.990    3.350    4.380    8.640    4.750
1998    7.390    7.860    7.540    2.100    1.380    1.530    7.720    4.610   19.880    0.800    2.810    3.130
1999    5.060    2.060    4.110    1.300    5.510    7.080    7.000    5.190    3.140    2.370    2.710    3.270
2000    3.300    1.570    4.420    2.020    0.400    4.460    4.000    4.220    9.600    0.730    5.470    3.590
2001    2.510    1.080    9.720    1.390    1.140    9.340    7.220    7.890    4.910    2.280    2.020    1.460
2002    4.140    2.230    6.000    4.230    2.210    5.240    6.020    4.710    9.560    6.980    5.040    5.480
2003    1.120    6.270    7.030    3.820    4.080   10.370    9.710    7.980    4.620    4.030    3.180    3.140
2004    2.790    7.690    0.660    3.150    1.820    9.580    5.780    7.010    7.250    3.580    5.860    3.870
2005    2.560    3.620    7.490   10.530    3.460    6.840    9.050    8.840    2.930    0.660    4.080    4.350
2006    2.880    4.930    0.560    2.010    4.450    3.420    3.720    5.680    4.180    3.740    3.270    4.020
2007    4.840    3.310    1.120    2.830    0.470    3.320    5.570    3.860    4.260    6.680    2.760    4.740
2008    4.230    8.080    2.790    3.940    2.790    4.930    5.630   10.660    1.460    4.150    3.510    4.870
2009    2.220    3.120    7.070    8.490    6.670    3.280    5.250    5.510    6.000    5.570    3.270   10.720
2010    7.580    4.550    4.070    2.340    5.530    4.850    5.810    6.660    2.330    0.720    3.760    1.650
2011    4.510    3.340    4.410    1.420    0.980    3.360    8.290    2.800    5.010    1.610    1.880    3.980
2012    2.940    4.210    3.860    2.460    3.340    9.530    6.440   10.240    6.130    1.840    0.870    3.880
2013    1.420   11.770    3.010    4.050    1.520    6.730   15.090    9.330    5.950    1.390    3.710    5.160
2014    3.450    5.730    7.890   12.970    4.710    4.050    4.360    2.930    4.910    3.780    4.220    5.970
2015    4.170    3.880    2.280    6.400    3.060    5.220    5.530    4.720    4.870    2.130    7.910    6.730
2016    5.080    4.580    6.730    6.820    2.370    5.780    5.180    7.950    5.850    0.170    0.320    7.000
2017    8.830    3.450    1.850    2.860    5.580   13.530    5.190    7.950    3.570    5.080    0.360    2.540
2018    2.400    7.070    3.780    3.500    6.430    4.800    6.990    8.850    7.000    3.140    5.710   12.450
2019    3.710    1.620    2.700    5.140    2.220    5.870    5.800    6.670    0.260    5.590    1.510    5.300
2020    3.660    5.510    1.270    4.800    3.010    5.260    8.250    9.300   15.000    3.080    1.990    3.590
2021    5.310    4.970    3.210    7.180    3.460    8.660    8.330   10.170    7.710    6.230    0.500    2.400
